,transID,cumid,time,amount,type_label,type
24119,23379,40188,27SEP09:22:03:34,-200.0,return,returned_goods
24120,26748,40188,21DEC09:19:54:51,100.0,normal,Normal
24121,30096,40188,21MAR10:20:20:16,18.0,normal,Normal
24122,33198,40188,15MAY10:13:01:02,359.0,normal,Normal
24123,25690,40189,29OCT09:20:55:11,35.0,normal,Normal
24124,18548,40189,14AUG09:18:03:49,249.0,normal,Normal
24125,29059,40189,15FEB10:19:15:29,0.0,giveaway,Presented
24126,29749,40189,09MAR10:11:41:09,-10.0,return,returned_goods
24127,31284,40189,25APR10:15:45:53,449.0,normal,Normal
24128,32016,40189,04MAY10:16:48:01,314.0,normal,Normal
24129,34299,40189,22MAY10:15:47:02,307.0,normal,Normal
24130,36060,40189,01JUN10:18:36:02,20.0,normal,Normal
24131,36228,40189,01JUN10:21:48:36,307.0,normal,Normal
24132,36578,40189,04JUN10:13:06:55,-269.0,return,returned_goods
24133,39707,40189,19JUN10:16:48:25,0.0,giveaway,Presented
24134,40717,40189,25JUN10:13:28:39,249.0,normal,Normal
24135,42008,40189,01JUL10:14:44:12,0.0,giveaway,Presented
24136,48491,40189,07AUG10:18:49:41,314.0,normal,Normal
24137,51290,40189,31AUG10:21:01:27,0.0,giveaway,Presented
24138,53157,40189,22SEP10:12:36:31,180.0,normal,Normal
24139,40357,40189,22JUN10:16:56:59,279.0,normal,Normal
24140,43541,40189,09JUL10:16:16:32,0.0,giveaway,Presented
24141,44012,40189,11JUL10:16:45:09,0.0,giveaway,Presented
24142,50730,40189,25AUG10:18:58:51,-209.0,return,returned_goods
24143,7420,40189,31MAY09:15:11:22,249.0,normal,Normal
24144,9796,40189,17JUN09:19:37:19,369.0,normal,Normal
24145,18353,40189,13AUG09:10:46:39,369.0,normal,Normal
24146,21420,40189,06SEP09:16:13:01,239.0,normal,Normal
24147,25772,40189,31OCT09:18:12:51,30.0,normal,Normal
24148,25776,40189,31OCT09:20:01:54,-167.0,return,returned_goods
24149,44740,40189,15JUL10:15:37:08,0.0,giveaway,Presented
24150,45564,40189,19JUL10:21:42:07,269.0,normal,Normal
24151,32150,40189,05MAY10:18:38:17,0.0,giveaway,Presented
24152,3463,40190,15MAY09:12:02:44,224.0,normal,Normal
24153,7154,40190,29MAY09:20:25:40,30.0,normal,Normal
24154,15120,40190,23JUL09:18:02:56,269.0,normal,Normal
24155,20544,40190,27AUG09:20:35:04,332.0,sepecial_offer,Special_offer
24156,20693,40190,29AUG09:16:24:14,199.0,sepecial_offer,Special_offer
24157,21539,40190,08SEP09:17:08:09,224.0,normal,Normal
24158,25249,40190,18OCT09:20:16:01,359.0,normal,Normal
24159,28864,40190,10FEB10:20:03:49,0.0,giveaway,Presented
24160,29326,40190,22FEB10:19:43:04,0.0,giveaway,Presented
24161,36013,40190,01JUN10:17:36:08,0.0,giveaway,Presented
24162,41967,40190,30JUN10:21:38:48,-299.0,return,returned_goods
24163,4831,40190,18MAY09:18:53:29,399.0,normal,Normal
24164,25684,40190,29OCT09:16:41:20,332.0,normal,Normal
24165,51929,40190,08SEP10:14:44:17,150.0,normal,Normal
24166,52524,40190,14SEP10:14:25:08,149.0,normal,Normal
24167,20972,40190,01SEP09:17:55:03,369.0,normal,Normal
24168,3718,40191,15MAY09:16:24:29,224.0,normal,Normal
24169,10203,40191,20JUN09:17:39:10,269.0,normal,Normal
24170,11713,40191,30JUN09:17:26:08,2.0,normal,Normal
24171,18309,40191,12AUG09:19:52:50,2.0,normal,Normal
24172,20114,40191,23AUG09:19:14:23,239.0,normal,Normal
24173,28655,40191,04FEB10:10:36:11,279.0,normal,Normal
24174,34405,40191,22MAY10:21:16:55,0.0,giveaway,Presented
24175,35580,40191,30MAY10:11:41:01,314.0,normal,Normal
24176,39728,40191,19JUN10:17:58:03,359.0,normal,Normal
24177,44753,40191,15JUL10:17:20:52,339.0,normal,Normal
24178,53359,40191,23SEP10:14:28:59,0.0,giveaway,Presented
24179,11114,40191,27JUN09:11:51:39,199.0,normal,Normal
24180,22285,40191,14SEP09:08:48:44,0.0,giveaway,Presented
24181,23765,40191,01OCT09:20:47:43,399.0,normal,Normal
24182,24545,40191,10OCT09:21:32:11,28.0,sepecial_offer,Special_offer
24183,26457,40191,04DEC09:15:07:10,279.0,normal,Normal
24184,26691,40191,19DEC09:12:29:07,3.0,normal,Normal
24185,27896,40191,18JAN10:16:58:59,120.0,normal,Normal
24186,38924,40191,16JUN10:19:08:29,349.0,normal,Normal
24187,52199,40191,11SEP10:10:38:40,224.0,normal,Normal
24188,18901,40191,15AUG09:20:48:56,0.0,giveaway,Presented
24189,26755,40191,23DEC09:16:46:34,0.0,giveaway,Presented
24190,27061,40191,30DEC09:21:11:34,332.0,normal,Normal
24191,35033,40191,25MAY10:19:09:47,0.0,giveaway,Presented
24192,39341,40191,18JUN10:13:12:47,401.0,normal,Normal
